AccidentIndex,Accident Date,Day_of_Week,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Local_Authority_(District),Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Vehicle_Type
98a836d5-6c69-420c-8eac-6e5ab2a7cd25,2022-05-15,6,3,6,1,52.598371,0,Harborough,-1.02907,2,1,Leicestershire,1,2,60,2024-12-10T23:30:00.000+01:00,0,3
200997NE01004,2021-04-05,7,3,6,1,55.773101,1,North Larkshire,-3.913115,1,1,Strathclyde,1,5,30,2024-12-10T21:05:00.000+01:00,1,1
200930C000585,2021-11-05,4,2,3,1,53.206764,0,North East Derbyshire,-1.483719,1,3,Derbyshire,2,2,60,2024-12-10T16:20:00.000+01:00,0,2
201050JG3K003,2022-08-14,6,2,6,1,50.569932,2,Teignbridge,-3.596802,4,1,Devon and Cornwall,2,5,70,2024-12-10T17:05:00.000+01:00,0,2
200920D199201,2021-07-31,5,2,2,1,52.486173,2,Birmingham,-1.834589,1,2,West Midlands,1,2,30,2024-12-10T06:00:00.000+01:00,1,2
201022D004673,2022-09-17,5,3,6,1,52.268922,2,Wychavon,-2.129659,1,3,West Mercia,1,5,70,2024-12-10T15:55:00.000+01:00,0,2
5063343c-dec4-415a-9ffb-a14570182267,2022-10-23,6,2,6,1,53.128215,2,Cheshire East,-2.335782,1,4,Cheshire,1,5,70,2024-12-10T14:30:00.000+01:00,0,2
201020J010730,2022-10-06,3,1,2,1,52.481226,1,Dudley,-2.080806,2,2,West Midlands,1,2,30,2024-12-10T22:25:00.000+01:00,1,2
201001TX20358,2022-06-06,7,2,4,1,51.469635,2,Hounslow,-0.366304,1,2,Metropolitan Police,1,2,30,2024-12-10T16:30:00.000+01:00,1,1
201001TX20617,2022-09-28,2,3,6,1,51.464529,1,Hillingdon,-0.426952,1,1,Metropolitan Police,2,5,30,2024-12-10T02:00:00.000+01:00,1,2
4cb18b3b-ecc3-4f32-8419-71def1625a13,2021-04-04,6,3,6,1,54.545774,2,Copeland,-3.586374,1,1,Cumbria,1,5,30,2024-12-10T11:00:00.000+01:00,1,2
201001JI40052,2022-01-25,1,2,3,1,51.576144,2,Redbridge,0.0852,1,1,Metropolitan Police,1,2,30,2024-12-10T15:35:00.000+01:00,1,2
201020L010130,2022-10-13,3,3,6,1,52.410554,2,Solihull,-1.826492,1,1,West Midlands,1,1,30,2024-12-10T15:58:00.000+01:00,1,2
85c660d2-9bb0-4afc-936d-a67bc570f8c5,2022-10-18,1,3,6,1,52.546337,2,Harborough,-0.94734,1,2,Leicestershire,1,2,30,2024-12-10T14:50:00.000+01:00,0,2
201043N264030,2022-03-31,3,2,2,1,51.810348,2,Aylesbury Vale,-0.816325,1,2,Thames Valley,1,2,30,2024-12-10T15:38:00.000+01:00,1,2
200901VK30406,2021-11-22,7,2,3,2,51.411807,2,Kingston upon Thames,-0.296466,1,1,Metropolitan Police,2,3,30,2024-12-10T16:40:00.000+01:00,1,2
200920D285903,2021-11-20,5,2,3,1,52.466897,2,Birmingham,-1.809784,1,2,West Midlands,2,2,30,2024-12-10T14:00:00.000+01:00,1,2
201005AA02642,2022-04-12,1,2,5,1,53.360931,2,Wirral,-2.997427,1,2,Merseyside,1,2,30,2024-12-10T09:13:00.000+01:00,1,3
a7a16f52-5459-4578-a649-cc3a50c30488,2021-06-09,2,2,3,1,53.67424,2,Wakefield,-1.34829,2,3,West Yorkshire,1,2,30,2024-12-10T17:25:00.000+01:00,1,2
791908b7-84c1-49c0-acb9-cee21bec54e2,2022-01-04,1,1,3,1,52.551737,2,Peterborough,-0.249261,1,2,Cambridgeshire,2,2,30,2024-12-10T21:00:00.000+01:00,0,4
200901YR90363,2021-06-23,2,1,1,1,51.588729,2,Haringey,-0.061331,1,2,Metropolitan Police,1,5,30,2024-12-10T11:00:00.000+01:00,1,2
807eeeec-8fed-467a-9cf1-4650ee9315de,2021-10-15,4,3,6,2,54.525329,0,Copeland,-3.540923,4,2,Cumbria,1,2,60,2024-12-10T22:40:00.000+01:00,0,2
200920H023001,2021-05-29,5,1,2,1,52.588143,2,Walsall,-1.976203,1,2,West Midlands,1,2,30,2024-12-10T10:45:00.000+01:00,1,2
